employee_id,system,access_level
001,GitLab,admin
001,ERP,read
002,ERP,write
003,ERP,admin
004,HR_System,admin
005,ERP,admin
006,GitLab,admin
006,CRM,write
007,CRM,write
008,Production_Server,admin
008,ERP,read
009,HR_System,admin
010,ERP,admin
010,Bank_Portal,admin
011,Legal_Archive,read
012,CRM,read
013,GitLab,read
014,Production_Server,admin
015,Operations_ERP,admin
016,Marketing_Drive,admin
017,Customer_DB,admin
018,Database_Master,admin
019,ERP,admin
019,Bank_Portal,admin
020,Logistics_System,admin
